chrom,feat_acc,acc,CV,M,MSQ,SD,per_SD,per_M,per_MSQ,per_CV,per
5,AT5G62610,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_64142,2.7644617040845247,0.04494931582094286,0.017461153166085226,0.12426066221179718,0.6956744248142049,0.6211339059231898,0.2734858261759601,0.9175159093943305,0.6956744248142049
1,AT1G66400,pCAMTA3-22C-cycloheximide_S6_peak_11168,0.35194022522831925,0.35306749501344,0.14009686905833565,0.12425865371582855,0.695629923011882,0.980841974099951,0.9649993324729652,0.5801922477860353,0.695629923011882
5,AT5G04140,pCAMTA3-22C-mock_S4_peak_59759,0.5003347436022804,0.24832733207163424,0.07710372918144945,0.12424679202149945,0.695585421209559,0.9324685149748565,0.8723020782341685,0.6414712295847982,0.695585421209559
2,AT2G36410,pCAMTA2-22C-mock_S1_peak_24208,0.9388758595365442,0.13232666328440157,0.032945503420736016,0.12423830973074539,0.695540919407236,0.7902407547505674,0.5679987539495349,0.7724845356236928,0.695540919407236
3,AT3G03626,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_27971,-0.9204691235456709,-0.13495131568978722,0.033642098137107626,0.12421851927431359,0.6952739085932981,0.2280049842018602,0.5772551288327177,0.27264029193182326,0.6952739085932981
3,AT3G03620,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_27971,-0.9204691235456709,-0.13495131568978722,0.033642098137107626,0.12421851927431359,0.6952739085932981,0.2280049842018602,0.5772551288327177,0.27264029193182326,0.6952739085932981
3,AT3G56360,pCAMTA2-22C-mock_S1_peak_39327,0.8166335986552344,0.1520945099013595,0.03855974293222396,0.1242054869564514,0.6951404031863291,0.8217035289929242,0.6333273997596902,0.7455164434159584,0.6951404031863291
3,AT3G56350,pCAMTA2-22C-mock_S1_peak_39327,0.8166335986552344,0.1520945099013595,0.03855974293222396,0.1242054869564514,0.6951404031863291,0.8217035289929242,0.6333273997596902,0.7455164434159584,0.6951404031863291
1,AT1G53610,pCAMTA3-22C-cycloheximide_S6_peak_9015,-0.8627169195507303,-0.143964692154042,0.03615166528122821,0.12420077573920431,0.695095901384006,0.20900271460994171,0.6072493435984158,0.2903965110586979,0.695095901384006
1,AT1G31175,pCAMTA3-22C-mock_S4_peak_9127,1.0697746040425304,0.11609979377150505,0.0289049538645339,0.12420061091133126,0.695051399581683,0.7615815940545592,0.5084998442436919,0.7960259890525566,0.695051399581683
1,AT1G48500,pCAMTA2-22C-mock_S1_peak_9739,-0.5629684657060691,-0.22061483481891647,0.06409634539821453,0.12419919507000327,0.694962395977037,0.08430866450091229,0.8222820524231231,0.4073917493658493,0.694962395977037
5,AT5G67110,pCAMTA2-22C-mock_S1_peak_67023,-0.35178309300095756,-0.35301119027686867,0.1400384094427817,0.12418336837954642,0.6948288905700681,0.01399581683058164,0.9649548306706421,0.49577232877931554,0.6948288905700681
3,AT3G19290,pCAMTA3-22C-cycloheximide_S6_peak_27961,-0.6312445626696154,-0.19671428847457312,0.05411589845358897,0.12417482499899647,0.6947398869654221,0.1158604423479151,0.7647857238218148,0.3764629967513684,0.6947398869654221
5,AT5G19720,pCAMTA3-22C-mock_S4_peak_64802,-2.171981840137544,-0.05716669693354285,0.01868498531727522,0.12416502760030171,0.6946953851630991,0.40316407814516486,0.30454808419741,0.11372435583641137,0.6946953851630991
3,AT3G46230,pCAMTA3-22C-cycloheximide_S6_peak_30748,-5.997196434190416,-0.02070263000740824,0.015843743007751678,0.1241577388587922,0.6946508833607761,0.4861599394775488,0.23321169507365047,0.03887232432913533,0.6946508833607761
5,AT5G42370,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_58890,1.4121763775421818,0.08791610392289198,0.023143219952835407,0.1241530451654516,0.6946063815584531,0.7071113880112144,0.4037871033776868,0.8419073472475636,0.6946063815584531
3,AT3G14240,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_31172,0.33948607786516843,0.3657009829835585,0.14915052888437247,0.12415039238452498,0.6945618797561302,0.9830225624137777,0.9698945307284945,0.575564060344444,0.6945618797561302
4,AT4G24460,pCAMTA3-22C-mock_S4_peak_53313,1.7348448582783593,0.07154904323557701,0.020526651051039128,0.1241264897719768,0.6942503671398692,0.6748030795247207,0.3457122513461795,0.8707445151528637,0.6942503671398692
4,AT4G18080,pCAMTA3-22C-mock_S4_peak_51508,0.28838053632061234,0.43042055868331547,0.20066885100616938,0.1241249115565121,0.6942058653375461,0.9921009300876685,0.9855591651461885,0.5575408304036313,0.6942058653375461
5,AT5G18590,pCAMTA3-22C-cycloheximide_S6_peak_47365,-4.195342954827234,-0.02958627327778422,0.01628225474502268,0.12412456315554529,0.6941613635352232,0.46706866628098437,0.24389212763116908,0.055070980374705175,0.6941613635352232
5,AT5G18065,pCAMTA2-22C-mock_S1_peak_56245,-13.804952276324045,-0.008988035884106274,0.0154764838910542,0.1240794064379751,0.6937608473143162,0.5106359307551955,0.22355480396956076,0.017021939388545237,0.6937608473143162
2,AT2G37630,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_18777,0.5671908062871511,0.21875932846596013,0.0632510633326899,0.12407827989544365,0.6937163455119932,0.9043433759067242,0.8171198433536558,0.6668817587112278,0.6937163455119932
1,AT1G62520,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_9526,0.9428237285038473,0.13159762128417687,0.03271213257976103,0.1240733599613849,0.6936718437096703,0.7889057006808776,0.5651061367985404,0.7730185572515686,0.6936718437096703
3,AT3G58140,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_39186,-1.6697002244947516,-0.07429166956319633,0.020906368877325998,0.12404481734775881,0.6933158292910863,0.3630234524498242,0.3548351208223933,0.14803524542743982,0.6933158292910863
2,AT2G38080,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_18867,-0.40883378254479397,-0.30339338350395434,0.10743283777266431,0.12403746457698495,0.6932268256864403,0.026367317876373992,0.9369186952071559,0.4753905033153843,0.6932268256864403
2,AT2G21350,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_20057,-3.3244829376972853,-0.03730989170372142,0.016776981719372325,0.12403609837635536,0.6931378220817943,0.4494459525610787,0.2565306394908994,0.07078011659472208,0.6931378220817943
1,AT1G16280,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_3560,1.3373387199708602,0.09274204871076105,0.023983916469279755,0.12402753271032435,0.6930043166748253,0.7169017845222732,0.42149882070223843,0.8342530372480086,0.6930043166748253
3,AT3G03420,pCAMTA3-22C-cycloheximide_S6_peak_23890,0.3771922936175406,0.3288103844822862,0.12349840584146776,0.12402474308813892,0.6929598148725024,0.97398869654221,0.9531173512527258,0.5910951893551689,0.6929598148725024
4,AT4G17453,pCAMTA2-22C-mock_S1_peak_44894,-2.340176379279815,-0.052995725581137326,0.01818934491563589,0.12401934520777264,0.6928263094655334,0.4133549908771305,0.2924880957678786,0.10491299897645855,0.6928263094655334
3,AT3G15840,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_31599,0.6776275167080705,0.1830024437691662,0.04886775237926623,0.12400749152280839,0.6926928040585644,0.8632237105602777,0.7243335855102132,0.7060433447554626,0.6926928040585644
3,AT3G15850,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_31599,0.6776275167080705,0.1830024437691662,0.04886775237926623,0.12400749152280839,0.6926928040585644,0.8632237105602777,0.7243335855102132,0.7060433447554626,0.6926928040585644
1,AT1G78020,pCAMTA2-22C-mock_S1_peak_16730,0.3783457592057573,0.3277605748485369,0.1228046867067426,0.12400682352878513,0.6926483022562414,0.973454674914334,0.9526278314271728,0.5916292109830448,0.6926483022562414
5,AT5G65670,pCAMTA2-22C-mock_S1_peak_66512,0.46046368238478314,0.26927603784152937,0.08788355994098299,0.12399183596249483,0.6925147968492724,0.9461750700903386,0.9016287659650216,0.6257620933647813,0.6925147968492724
2,AT2G45600,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_20547,-2.647140864283826,-0.04683540947830557,0.017564577712674164,0.12397992632548871,0.6924702950469493,0.4277290730274576,0.27606693071069377,0.09200747630279027,0.6924702950469493
3,AT3G07273,pCAMTA2-22C-mock_S1_peak_29701,2.187086080704303,0.05668681565972449,0.018584173994162897,0.12397894548883416,0.6924257932446264,0.6457879044101286,0.3019669796626763,0.8961995460816163,0.6924257932446264
5,AT5G63820,pCAMTA3-22C-mock_S4_peak_75093,-0.7844086126347161,-0.15804378913103367,0.04034662565237584,0.12397090936780775,0.6922477860353344,0.18096657914645542,0.6513061278981799,0.3149615059409906,0.6922477860353344
4,AT4G02300,pCAMTA2-22C-mock_S1_peak_42054,-15.4849242462206,-0.00800590590338832,0.015432865295476113,0.12397084643633843,0.6922032842330115,0.5124160028481154,0.2224867607138089,0.015330870900271461,0.6922032842330115
3,AT3G58670,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_39312,-5.515028290746395,-0.02247746252600913,0.01587227037934107,0.12396384173513228,0.6921587824306884,0.48246628988474033,0.23410173112011037,0.0420764540963909,0.6921587824306884
1,AT1G58440,pCAMTA3-22C-mock_S4_peak_13249,1.6475144405533824,0.07522524599476053,0.021018642311292083,0.12393467907054848,0.6919362734190735,0.6820123715010458,0.35768323617106496,0.8641582484090605,0.6919362734190735
1,AT1G58450,pCAMTA3-22C-mock_S4_peak_13249,1.6475144405533824,0.07522524599476053,0.021018642311292083,0.12393467907054848,0.6919362734190735,0.6820123715010458,0.35768323617106496,0.8641582484090605,0.6919362734190735
4,AT4G22756,pCAMTA3-22C-mock_S4_peak_52771,0.43812142872284615,0.2828516806572254,0.0953620779675246,0.12392338244620181,0.6918027680121045,0.9541853945084776,0.9168038805571626,0.6160161986560456,0.6918027680121045
1,AT1G61980,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_12195,2.3365840393585877,0.053036012105257546,0.018169753144032526,0.12392309939637364,0.6917582662097815,0.6376885763873437,0.2915535579190957,0.9023852966045125,0.6917582662097815
1,AT1G77500,pCAMTA3-22C-mock_S4_peak_18632,-1.5803395691785742,-0.0783949052001988,0.021494634672167275,0.12389057070987734,0.6914022517911975,0.3533665613457345,0.3684081705309065,0.1580036491477905,0.6914022517911975
2,AT2G31005,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_22384,-3.41451111439865,-0.03628189673999498,0.016663854308135058,0.12388493967017702,0.6912242445819056,0.4519380534911664,0.25372702594455077,0.06859952828089537,0.6912242445819056
5,AT5G58370,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_49338,0.8251805428878003,0.15011111894906431,0.03787682135995367,0.12386877462788407,0.6910462373726136,0.8180988830047617,0.6257175915624583,0.747875038939077,0.6910462373726136
3,AT3G27415,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_34594,-0.8112721402047757,-0.1526837868544204,0.03865564559406405,0.12386810253595544,0.6910017355702905,0.19057896844822214,0.6343509412131191,0.3065951671042677,0.6910017355702905
3,AT3G27416,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_34594,-0.8112721402047757,-0.1526837868544204,0.03865564559406405,0.12386810253595544,0.6910017355702905,0.19057896844822214,0.6343509412131191,0.3065951671042677,0.6910017355702905
3,AT3G02210,pCAMTA3-22C-mock_S4_peak_31786,-1.0956453736926313,-0.11305047790944846,0.02812251107331206,0.12386323311522822,0.6909572337679676,0.27339682257131415,0.4947932891282097,0.2300520671087179,0.6909572337679676
5,AT5G66770,pCAMTA2-22C-mock_S1_peak_66907,-0.8071349147690238,-0.15341112013754143,0.038867223845665044,0.12382347137683497,0.6905122157447376,0.1893329179831783,0.6360865115037159,0.30788571937163456,0.6905122157447376
5,AT5G40390,pCAMTA2-22C-mock_S1_peak_59647,0.7741716967483725,0.15992366952272052,0.040904094681367534,0.12380837858463054,0.6903342085354457,0.8326954741667038,0.657358373014107,0.7346580036491478,0.6903342085354457
1,AT1G67785,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_10485,0.5957113983954426,0.20783239342310755,0.05852275574976937,0.1238081257179512,0.6902897067331227,0.8922833874771928,0.7924658448667171,0.6772951804548084,0.6902897067331227
2,AT2G46250,pCAMTA3-22C-cycloheximide_S6_peak_22770,0.5353509873731073,0.23126235011907895,0.06881033082887762,0.12380652747847413,0.6902452049307997,0.9161808553246407,0.8431088959102844,0.6553112901072493,0.6902452049307997
1,AT1G74875,pCAMTA2-22C-mock_S1_peak_15779,2.0027899240890523,0.06181680430137256,0.01914926095475044,0.12380607279417374,0.6902007031284767,0.6554447955142183,0.31545102576654355,0.8874771928263094,0.6902007031284767
1,AT1G04750,pCAMTA2-22C-mock_S1_peak_1153,-0.7442201843020535,-0.16635145168173165,0.04299976742916563,0.12380210802949249,0.6901562013261537,0.1655689555426995,0.6765831516176405,0.3301366205331316,0.6901562013261537
3,AT3G24550,pCAMTA2-22C-mock_S1_peak_34761,-2.264975157010707,-0.05465916177272486,0.018314470903517035,0.12380164351825111,0.6901116995238307,0.410017355702906,0.2954252147211962,0.10865115037159005,0.6901116995238307
5,AT5G14760,pCAMTA2-22C-mock_S1_peak_55323,-0.46158811267110433,-0.26820660986967404,0.08726146893381045,0.12380098285565802,0.6900671977215077,0.04327800275911174,0.9000712028837168,0.4519825552934894,0.6900671977215077
2,AT2G35330,pCAMTA3-22C-mock_S4_peak_27016,1.2626289640293384,0.098049532612604,0.024940195360648763,0.12380017978621302,0.6900226959191847,0.7278492278937297,0.43961105424769703,0.8242846335276579,0.6900226959191847
2,AT2G35320,pCAMTA3-22C-mock_S4_peak_27016,1.2626289640293384,0.098049532612604,0.024940195360648763,0.12380017978621302,0.6900226959191847,0.7278492278937297,0.43961105424769703,0.8242846335276579,0.6900226959191847
4,AT4G39110,pCAMTA3-22C-mock_S4_peak_58343,0.4490639045307862,0.27566900571567765,0.09131810757731434,0.12379300006480183,0.6899781941168618,0.9497797160785012,0.9094165813715456,0.6211784077255129,0.6899781941168618
4,AT4G17390,pCAMTA2-22C-mock_S1_peak_44879,-2.496372137400648,-0.049580639399158494,0.017777680146046672,0.12377172675056805,0.6899336923145387,0.42136531529526944,0.281941168617329,0.09788171420942549,0.6899336923145387
4,AT4G17410,pCAMTA2-22C-mock_S1_peak_44879,-2.496372137400648,-0.049580639399158494,0.017777680146046672,0.12377172675056805,0.6899336923145387,0.42136531529526944,0.281941168617329,0.09788171420942549,0.6899336923145387
5,AT5G63030,pCAMTA2-22C-mock_S1_peak_65695,0.4631834053231441,0.2671878910438068,0.08670516348500643,0.12375699723477963,0.6898446887098928,0.9449290196252949,0.898602643407058,0.6270081438298251,0.6898446887098928
